individualID,cfc_LMA_freshWeight,cfc_LMA_dryWeight,leafArea,leafMassPerArea,dryMassFraction,cfc_lignin_dryWeight,ligninPercent,cellulosePercent,decimalLatitude,decimalLongitude,coordinateUncertainty,elevationUncertainty,clipLength,clipWidth,subsample1Height,subsample2Height,subsample3Height,cfc_elements_dryWeight,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,cfc_chlorophyll_freshWeight,extractChlAConc,extractChlBConc,extractCarotConc,nitrogenPercent,carbonPercent,CNratio,uid,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,cfcOnlyTag,supportingStemIndividualID,previouslyTaggedAs,taxonID,scientificName,plotType,subtype,latitude,longitude,datum,utmZone,easting,northing,horzUncert,crdSource,elevation,vertUncert,nlcdClass,appMods,geometry,UTM_E,UTM_N,stemDiameter,height,baseCrownHeight,maxCrownDiameter,ninetyCrownDiameter
NEON.PLA.D02.SCBI.02574,4.892,1.659,19852.7,83.6,0.339,0.494,19.48,18.72,38.894615,-78.13964,20.2,0.23,NA,NA,24.7,NA,NA,0.103,0.12,1.11,0.91,0.61,0.13,1515.3,40.5,8.8,20.2,28.1,0.0865,11.97,3.76,2.59,2.28,47.82,21,1adc0b4c-e0d1-4591-b291-fa4caf7371cb,vst_SCBI_2014,D02,SCBI,SCBI_049,23,NA,43,9.1,208.3,NA,NA,NA,LITU,Liriodendron tulipifera L.,tower,basePlot,38.894621,-78.139404,WGS84,17N,748093.013,4308973.178,0.26,GeoXH 6000,371.52,0.49,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-78.1394044281146, 38.8946212790764)",748088.6987972977,4308965.165656083,43.5,26.5,NA,NA,NA
NEON.PLA.D02.SCBI.02577,3.668,1.647,14132,116.5,0.449,0.519,29.98,24.64,38.894615,-78.13964,20.2,0.23,NA,NA,21.9,19.8,NA,0.106,0.12,0.41,0.84,0.23,0.1,237.4,309.8,4.2,22.1,26.6,0.084,10.31,3.11,2.3,2.1,49.62,23.6,f28166d8-fa2b-4929-91d1-3c4b154b9a0e,vst_SCBI_2014,D02,SCBI,SCBI_049,23,NA,43,13.7,232.5,N,NA,NA,QURU,Quercus rubra L.,tower,basePlot,38.894621,-78.139404,WGS84,17N,748093.013,4308973.178,0.26,GeoXH 6000,371.52,0.49,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-78.1394044281146, 38.8946212790764)",748082.144059238,4308964.837968423,49.3,22.5,NA,NA,NA
NEON.PLA.D02.SCBI.02549,5.611,2.188,25888,84.5,0.39,0.494,17.86,16.27,38.894615,-78.13964,20.2,0.23,NA,NA,24.3,NA,NA,0.103,0.14,0.89,1.47,0.39,0.11,499,62.5,8.4,40,28.3,0.0997,12.56,3.64,3.47,2.4,48.63,20.3,943b5bf2-0bfb-49b2-9bc8-ca7f4d4f8ca2,vst_SCBI_2014,D02,SCBI,SCBI_049,41,NA,41,17.2,26.2,NA,NA,NA,JUNI,Juglans nigra L.,tower,basePlot,38.894615,-78.13964,WGS84,17N,748072.637,4308971.817,0.17,GeoXH 6000,365.07,0.23,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-78.1396395893522, 38.8946147832869)",748080.230900668,4308987.249843958,55.3,25.3,NA,NA,NA
NEON.PLA.D02.SCBI.01925,2.676,0.857,16293.7,52.6,0.32,0.502,17.21,17.44,38.88477,-78.12516,20.2,0.3,NA,NA,7.7,NA,NA,0.105,0.19,1.58,1.13,0.44,0.2,1010.5,69.8,6.1,69.8,33,0.096,8.15,2.84,2.25,2.82,48.27,17.1,5745c0b9-3d84-4ada-8469-fadbd350699e,vst_SCBI_2014,D02,SCBI,SCBI_010,40,NA,41,8,276.6,NA,NA,NA,ACNEN,Acer negundo L. var. negundo,distributed,basePlot,38.88477,-78.12516,WGS84,17N,749363.082,4307918.552,0.19,GeoXH 6000,493.28,0.3,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-78.125160164956, 38.8847699200468)",749355.1350178752,4307919.471497204,27.4,9.1,NA,8.8,8.7
NEON.PLA.D02.SCBI.00011,3.278,1.463,15363.9,95.2,0.446,0.483,15.53,23.03,38.895212,-78.142701,20.1,0.38,NA,NA,20.3,23.3,19.7,0.104,0.29,1.09,1.49,0.3,0.18,48.7,71.4,10.8,30.5,24.4,0.0802,11.02,3.3,2.82,2.12,47.24,22.3,1e0e7f81-1dcc-4feb-9edb-97827ceabffb,vst_SCBI_2014,D02,SCBI,SCBI_002,40,NA,49,4.5,114.7,NA,NA,NA,FRAM2,Fraxinus americana L.,distributed,basePlot,38.895309,-78.142803,WGS84,17N,747795.861,4309040.231,0.16,GeoXH 6000,321.88,0.34,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-78.1428025206453, 38.8953086356811)",747799.949286799,4309038.350598168,70.9,32.2,NA,15.4,10.7
NEON.PLA.D02.SCBI.00003,4.985,1.925,23657.3,81.4,0.386,0.503,16.39,17.43,38.895212,-78.142701,20.1,0.38,NA,NA,25,NA,NA,0.104,0.22,2.05,1.57,0.67,0.12,105.2,65.6,10.1,53.9,25.2,0.0858,12.45,4.15,4.03,2.76,46.98,17,8afb9693-8156-42b0-8675-95113b6490b7,vst_SCBI_2014,D02,SCBI,SCBI_002,41,NA,51,9.4,189.9,NA,NA,NA,JUNI,Juglans nigra L.,distributed,basePlot,38.89532,-78.142568,WGS84,17N,747816.133,4309042.141,0.26,GeoXH 6000,326.38,0.66,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-78.1425683566226, 38.8953201082675)",747814.5168664574,4309032.880972334,51.5,28.5,NA,16.6,12.6
NEON.PLA.D02.SCBI.00003,4.985,1.925,23657.3,81.4,0.386,0.503,16.39,17.43,38.895212,-78.142701,20.1,0.38,NA,NA,25,NA,NA,0.104,0.22,2.05,1.57,0.67,0.12,105.2,65.6,10.1,53.9,25.2,0.0858,12.45,4.15,4.03,2.9,47.43,16.3,8afb9693-8156-42b0-8675-95113b6490b7,vst_SCBI_2014,D02,SCBI,SCBI_002,41,NA,51,9.4,189.9,NA,NA,NA,JUNI,Juglans nigra L.,distributed,basePlot,38.89532,-78.142568,WGS84,17N,747816.133,4309042.141,0.26,GeoXH 6000,326.38,0.66,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-78.1425683566226, 38.8953201082675)",747814.5168664574,4309032.880972334,51.5,28.5,NA,16.6,12.6
NEON.PLA.D02.SCBI.13005,4.373,1.324,20697.5,64,0.303,0.475,19.41,19.5,38.895212,-78.142701,20.1,0.38,NA,NA,21.7,NA,NA,0.102,0.17,1.48,0.83,0.57,0.13,273.8,268.7,277.8,23.4,270.5,0.0983,13.8,4.66,3.05,2.46,47.57,19.4,73f7b965-e9ba-4066-8e39-a224bc0546a4,vst_SCBI_2017,D02,SCBI,SCBI_002,21,NA,31,3.3,92.5,Y,NA,NA,LITU,Liriodendron tulipifera L.,distributed,basePlot,38.895117,-78.14281,WGS84,17N,747795.859,4309018.917,0.26,GeoXH 6000,317.05,0.35,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-78.1428102363395, 38.8951168040775)",747799.1558591312,4309018.773056022,NA,NA,NA,NA,NA
NEON.PLA.D02.SCBI.03296,3.58,1.601,18243.6,87.8,0.447,0.531,17.31,26.25,38.890566,-78.139431,20.1,0.1,NA,NA,9.7,NA,NA,0.107,0.2,0.87,1.27,0.21,0.15,835.6,62.7,5.6,33.2,26.7,0.0782,10.3,2.91,2.65,2.22,47.56,21.4,15743d7b-8a2c-4617-820f-8cffa143cad7,vst_SCBI_2014,D02,SCBI,SCBI_045,39,NA,57,7.3,122.5,NA,NA,NA,FRAM2,Fraxinus americana L.,tower,basePlot,38.890738,-78.139636,WGS84,17N,748086.405,4308541.522,0.17,GeoXH 6000,355.47,0.24,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-78.1396364885276, 38.8907381254572)",748092.5617575544,4308537.599712859,17.5,12.6,NA,NA,NA
NEON.PLA.D02.SCBI.03296,3.58,1.601,18243.6,87.8,0.447,0.476,17.53,26.77,38.890566,-78.139431,20.1,0.1,NA,NA,9.7,NA,NA,0.107,0.2,0.87,1.27,0.21,0.15,835.6,62.7,5.6,33.2,26.7,0.0782,10.3,2.91,2.65,2.22,47.56,21.4,15743d7b-8a2c-4617-820f-8cffa143cad7,vst_SCBI_2014,D02,SCBI,SCBI_045,39,NA,57,7.3,122.5,NA,NA,NA,FRAM2,Fraxinus americana L.,tower,basePlot,38.890738,-78.139636,WGS84,17N,748086.405,4308541.522,0.17,GeoXH 6000,355.47,0.24,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-78.1396364885276, 38.8907381254572)",748092.5617575544,4308537.599712859,17.5,12.6,NA,NA,NA
NEON.PLA.D02.SCBI.01531,3.539,1.705,15678.2,108.7,0.482,0.477,27.5,19.91,38.874379,-78.163985,20.2,0.27,NA,NA,27.3,NA,NA,0.105,0.14,0.47,0.83,0.17,0.12,824.6,53.1,6.3,33.5,18.1,0.0916,10.49,3.06,2.39,2.78,51.18,18.4,4c94ffb8-1106-45b8-9344-f36fa89f72f5,vst_SCBI_2014,D02,SCBI,SCBI_013,41,NA,51,7.8,258.6,N,NA,NA,QURU,Quercus rubra L.,distributed,basePlot,38.874481,-78.163834,WGS84,17N,746043.435,4306671.477,0.18,GeoXH 6000,320.52,0.24,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-78.1638340994057, 38.874481276249)",746035.788884838,4306669.935272745,NA,NA,NA,NA,NA
NEON.PLA.D02.SCBI.01496,4.497,2.061,22050.6,93.5,0.458,0.452,17.5,21.68,38.874379,-78.163985,20.2,0.27,NA,NA,27.8,NA,NA,0.105,0.21,0.77,1.95,0.46,0.14,241.8,61.4,9.7,13.4,22,0.0955,12.01,4.05,2.7,2.26,47.18,20.9,09ecff33-da6b-4df3-8b3a-3cf97ced3138,vst_SCBI_2014,D02,SCBI,SCBI_013,32,NA,41,7.2,157.3,NA,NA,NA,LITU,Liriodendron tulipifera L.,distributed,basePlot,38.874379,-78.163985,WGS84,17N,746030.707,4306659.757,0.18,GeoXH 6000,314.28,0.27,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-78.1639848445006, 38.8743793523893)",746033.4855235048,4306653.114725756,NA,NA,NA,NA,NA
NEON.PLA.D02.SCBI.13010Z,4.307,1.202,22165.7,54.2,0.279,0.535,26.14,21.48,38.874379,-78.163985,20.2,0.27,NA,NA,25.7,NA,NA,0.104,0.17,0.36,0.91,0.1,0.12,393.8,56.4,7.9,32.6,18.1,0.1,14.42,3.91,3.56,2.26,50.99,22.6,b886d47c-d09b-4f03-9157-43d4400d3ecf,vst_SCBI_2017,D02,SCBI,SCBI_013,41,NA,51,12.8,337.3,Y,13007,NA,QUMO4,Quercus montana Willd.,distributed,basePlot,38.874481,-78.163834,WGS84,17N,746043.435,4306671.477,0.18,GeoXH 6000,320.52,0.24,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-78.1638340994057, 38.874481276249)",746038.4954026584,4306683.285487545,NA,NA,NA,NA,NA
NEON.PLA.D02.SCBI.13011,4.095,1.835,22472,81.7,0.448,0.492,23.33,20.29,38.887763,-78.147164,20.3,0.41,NA,NA,23.9,NA,NA,0.103,0.13,0.37,0.94,0.13,0.15,266.7,65.4,10.8,30.5,18.2,0.0856,11.76,3.41,2.56,2.66,50.44,19,3c69e091-801c-429e-916e-d75e8a98e9a2,vst_SCBI_2017,D02,SCBI,SCBI_008,41,NA,61,7.7,83.8,Y,NA,NA,QUMO4,Quercus montana Willd.,distributed,basePlot,38.887932,-78.146961,WGS84,17N,747460.763,4308210.115,0.13,GeoXH 6000,332.55,0.17,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-78.1469610351105, 38.8879317717139)",747468.4179624226,4308210.946595039,NA,NA,NA,NA,NA
NEON.PLA.D02.SCBI.01103,2.965,1.186,20278.1,58.5,0.4,0.5,17.04,17.22,38.887763,-78.147164,20.3,0.41,NA,NA,21.3,NA,NA,0.102,0.17,0.41,1.67,0.22,0.12,835.7,64.9,8.2,57.3,53.9,0.0925,10.94,3.5,2.38,2.43,47.9,19.8,05fa80f5-1d5f-405a-a128-9d35d331f85e,vst_SCBI_2014,D02,SCBI,SCBI_008,40,NA,41,2.5,330.3,NA,NA,NA,QUAL,Quercus alba L.,distributed,basePlot,38.887763,-78.147164,WGS84,17N,747443.714,4308190.84,0.29,GeoXH 6000,336.71,0.41,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-78.1471643148899, 38.8877630910202)",747442.475353329,4308193.011578786,NA,NA,NA,NA,NA
NEON.PLA.D02.SCBI.13013,2.145,0.564,13683.6,41.2,0.263,0.465,12.28,30.16,38.879732,-78.139901,20.2,0.3,NA,NA,16.9,NA,NA,0.102,0.13,1.24,2.24,0.84,0.12,213.9,74.8,11.4,19.5,24.6,0.0806,11.33,4.06,2.47,2.17,45.41,20.9,a3160ec9-2812-40c9-a703-78eb405578ff,vst_SCBI_2017,D02,SCBI,SCBI_011,41,NA,51,7.2,103.3,Y,NA,NA,LITU,Liriodendron tulipifera L.,distributed,basePlot,38.879811,-78.139774,WGS84,17N,748112.484,4307328.297,0.17,GeoXH 6000,364.71,0.24,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-78.1397743744878, 38.879811398373)",748119.490887884,4307326.640641892,NA,NA,NA,NA,NA
NEON.PLA.D02.SCBI.13013,2.145,0.564,13683.6,41.2,0.263,0.465,12.28,30.16,38.879732,-78.139901,20.2,0.3,NA,NA,16.9,NA,NA,0.1,0.14,1.26,2.25,0.85,0.12,234.7,87.3,11.7,21.7,22.3,0.0806,11.33,4.06,2.47,2.17,45.41,20.9,a3160ec9-2812-40c9-a703-78eb405578ff,vst_SCBI_2017,D02,SCBI,SCBI_011,41,NA,51,7.2,103.3,Y,NA,NA,LITU,Liriodendron tulipifera L.,distributed,basePlot,38.879811,-78.139774,WGS84,17N,748112.484,4307328.297,0.17,GeoXH 6000,364.71,0.24,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-78.1397743744878, 38.879811398373)",748119.490887884,4307326.640641892,NA,NA,NA,NA,NA
NEON.PLA.D02.SCBI.01758,3.014,0.828,20041.3,41.3,0.275,0.481,16.34,23.94,38.879732,-78.139901,20.2,0.3,NA,NA,18.8,NA,NA,0.108,0.18,1.48,1.1,0.68,0.15,235.4,308.2,4.1,24.3,26.6,0.0956,14.73,4.74,3.18,2.55,46.86,18.4,3e30419f-ddb2-42de-87a6-7e9c16d8db7d,vst_SCBI_2014,D02,SCBI,SCBI_011,41,NA,41,3,33.4,NA,NA,NA,LITU,Liriodendron tulipifera L.,distributed,basePlot,38.879732,-78.139901,WGS84,17N,748101.737,4307319.15,0.22,GeoXH 6000,366.38,0.3,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-78.139901424424, 38.8797321060498)",748103.3884422202,4307321.65454359,67.2,36.9,NA,15.8,14
NEON.PLA.D02.SCBI.13012,3.049,1.454,15589.9,93.2,0.477,0.487,29.01,19.25,38.887763,-78.147164,20.3,0.41,NA,NA,29,NA,NA,0.107,0.16,0.92,0.91,0.31,0.13,471.9,45.7,7.2,43.3,12.7,0.0868,11.51,4.12,2.54,2.2,49.18,22.4,9afd38ad-ab74-47f5-a1ca-269be3112b0a,vst_SCBI_2017,D02,SCBI,SCBI_008,39,NA,49,2.6,344.7,Y,NA,NA,QURU,Quercus rubra L.,distributed,basePlot,38.887847,-78.147303,WGS84,17N,747431.429,4308199.804,0.19,GeoXH 6000,326.75,0.24,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-78.1473025586874, 38.8878472290935)",747430.7429300701,4308202.311849288,NA,NA,NA,NA,NA
NEON.PLA.D02.SCBI.13014,2.641,0.753,13195.4,57.1,0.285,0.52,21.16,24.75,38.879732,-78.139901,20.2,0.3,NA,NA,17.9,NA,NA,0.109,0.14,1.55,1.56,0.64,0.13,199.5,87.7,8.7,20.9,27.4,0.0925,11.93,3.89,2.77,2.14,45.6,21.3,de82274e-b9fa-4f22-9ad3-67dd50e88bd3,vst_SCBI_2017,D02,SCBI,SCBI_011,21,NA,21,4.7,11.6,Y,NA,NA,LITU,Liriodendron tulipifera L.,distributed,basePlot,38.879548,-78.140114,WGS84,17N,748083.976,4307298.123,0.2,GeoXH 6000,354.58,0.25,deciduousForest,brd|cdw|cfc|dhp|hbp|vst,"c(-78.1401135264833, 38.8795478696327)",748084.9210662295,4307302.727003673,NA,NA,NA,NA,NA
NEON.PLA.D02.SCBI.13015,3.166,1.335,23027.6,58,0.422,0.47,28.68,16.74,38.894261,-78.137200000000007,20.2,0.21,NA,NA,13.9,NA,NA,0.106,0.13,0.62,0.56,0.25,0.16,365.6,72.4,6.4,15,25.6,0.099,13.29,4.14,3.22,2.55,50.58,19.9,80954237-daa6-4123-9858-70025d6d5e13,vst_SCBI_2017,D02,SCBI,SCBI_047,41,NA,41,5.2,11.7,Y,NA,NA,SASSA,Sassafras sp.,tower,basePlot,38.894261,-78.137200000000007,WGS84,17N,748285.515,4308939.151,0.18,GeoXH 6000,396.95,0.21,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-78.1371996992008, 38.8942606476552)",748286.5694939359,4308944.242958615,NA,NA,NA,NA,NA
